8,A,1
0.4,A,1
0.4,A,1
0.4,A,1
0.4,A,1
1,A,7
0.4,A,7
0.4,A,7
0.4,A,7
0.4,A,7
1.5,B,0
0,B,2
0,B,6
0,B,8
1,A,10
0.3,A,10
0.3,A,10
1,A,15
0.3,A,15
0.3,A,15
3,C,4
5,A,4
0.4,A,4
0.4,A,4
0.4,A,4
1,A,9
0.4,A,13
0.4,A,9
0.4,A,13
0.4,A,9
1,A,13
0.4,A,9
0.4,A,13
0.4,A,9
0.4,A,13
2,B,9
0,B,13
0.75,B,10
0,B,14
0.75,B,11
0,B,15
0.75,B,12
0,B,16
1,A,0
0.05,A,1
0.05,A,2
0.05,A,3
0.05,A,4
0.05,A,5
0.05,A,6
0.05,A,7
0.05,A,8
0.05,A,9
0.05,A,10
0.05,A,11
0.05,A,12
0.05,A,13
0.05,A,14
0.05,A,15
0.05,A,16
3,C,4
8.5,Boss,4
