7,B,0
0.05,B,1
0.05,B,2
0.25,B,8
0.05,B,7
0.05,B,6
0.25,B,4
0.05,B,3
0.05,B,5
1,B,5
0.05,B,3
0.05,B,4
0.25,B,6
0.05,B,8
0.05,B,7
0.25,B,1
0.05,B,2
0.05,B,0
1,B,6
0.05,B,8
0.05,B,7
0.25,B,1
0.05,B,2
0.05,B,0
0.25,B,3
0.05,B,5
0.05,B,4
1,B,0
0,B,1
0,B,2
0,B,3
0,B,4
0,B,5
0,B,6
0,B,7
0,B,8
1,B,9
0.05,B,13
0.05,B,10
0.05,B,14
0.05,B,11
0.05,B,15
0.05,B,12
0.05,B,16
1,B,9
0,B,10
0,B,11
0,B,12
0,B,13
0,B,14
0,B,15
0,B,16
1,A,8
0,A,7
0,A,6
0,A,5
0,A,4
0,A,3
0,A,2
0,A,1
0,A,0
3,B,17
0,B,18
0,B,19
0,B,20
0,B,21
0,B,22
0,B,23
0,B,24
0,B,25
1,B,2
1,B,6
1,B,4
0.5,B,2
0.5,B,6
0.5,B,4
0.25,B,2
0.25,B,6
0.25,B,4
