8,B,19
0.25,B,25
0.25,B,20
0.25,B,24
0.25,B,21
0.25,B,23
0.25,B,22
0.25,B,0
0,B,1
0,B,2
0,B,3
0,B,4
0,B,5
0,B,6
0,B,7
0,B,8
2,C,4
3,C,21
2,A,9
0,B,10
0,C,11
2,A,13
0,B,14
0,C,15
1,A,0
0.05,A,1
0.05,A,2
0.05,A,3
0.05,A,4
0.05,A,5
0.05,A,6
0.05,A,7
0.05,A,8
0.05,A,9
0.05,A,10
0.05,A,11
0.05,A,12
0.05,A,13
0.05,A,14
0.05,A,15
0.05,A,16
2,B,0
0.05,B,1
0.05,B,2
0.05,B,3
0.05,B,4
0.05,B,5
0.05,B,6
0.05,B,7
0.05,B,8
0.05,B,9
0.05,B,10
0.05,B,11
0.05,B,12
0.05,B,13
0.05,B,14
0.05,B,15
0.05,B,16
1,C,0
0.05,C,1
0.05,C,2
0.05,C,3
0.05,C,4
0.05,C,5
0.05,C,6
0.05,C,7
0.05,C,8
0.05,C,9
0.05,C,10
0.05,C,11
0.05,C,12
0.05,C,13
0.05,C,14
0.05,C,15
0.05,C,16
4,C,4
6,Boss,4
