7,A,4
1.5,B,4
0.5,C,21
2,A,0
0.05,A,1
0.05,A,2
0.05,A,3
0.05,A,4
0.05,A,5
0.05,A,6
0.05,A,7
0.05,A,8
0.05,A,9
0.05,A,10
0.05,A,11
0.05,A,12
0.05,A,13
0.05,A,14
0.05,A,15
0.05,A,16
0.05,A,17
0.05,A,18
0.05,A,19
0.05,A,20
0.05,A,21
0.05,A,22
0.05,A,23
0.05,A,24
0.05,A,25
1,B,0
0.05,B,1
0.05,B,2
0.05,B,3
0.05,B,4
0.05,B,5
0.05,B,6
0.05,B,7
0.05,B,8
0.05,B,9
0.05,B,10
0.05,B,11
0.05,B,12
0.05,B,13
0.05,B,14
0.05,B,15
0.05,B,16
0.05,B,17
0.05,B,18
0.05,B,19
0.05,B,20
0.05,B,21
0.05,B,22
0.05,B,23
0.05,B,24
0.05,B,25
0.5,C,0
0.05,C,1
0.05,C,2
0.05,C,3
0.05,C,4
0.05,C,5
0.05,C,6
0.05,C,7
0.05,C,8
0.05,C,9
0.05,C,10
0.05,C,11
0.05,C,12
0.05,C,13
0.05,C,14
0.05,C,15
0.05,C,16
0.05,C,17
0.05,C,18
0.05,C,19
0.05,C,20
0.05,C,21
0.05,C,22
0.05,C,23
0.05,C,24
0.05,C,25
